"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"1" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 7.5 0 15 115 0 14.2879674388648
"2" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 6.5 0 15 115 0 8.26401123106643
"3" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 5.5 0 15 115 0 1.44096210479256
"4" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 4.5 0 15 115 1 13.6033109128755
"5" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 5 0 15 115 0 8.28440361551247
"6" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 4.75 0 15 115 1 1.8239740595709
"7" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 4.875 0 15 115 1 0.961604382952373
"8" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 5 0 15 115 0 1.06064222217856
"9" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 7.5 0 15 75 1 17.419573255557
"10" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 8.5 0 15 75 1 2.1053938788325
"11" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 9.5 0 15 75 1 1.0154871901093
"12" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 10.5 0 15 75 0 2.45333456491903
"13" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 10 0 15 75 0 1.27020616931122
"14" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 9.5 0 15 75 1 1.58719611167248
"15" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 9.75 0 15 75 1 0.845143649231886
"16" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 10 0 15 75 0 1.23281945731242
"17" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 9.875 0 15 75 1 0.897196494210675
"18" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 7.5 0 15 270 0 1.90910182259131
"19" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 6.5 0 15 270 0 0.616358257082311
"20" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 5.5 0 15 270 0 0.595563741246224
"21" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 4.5 0 15 270 0 0.655770243334473
"22" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 2.5 0 15 270 0 0.784656308284639
"23" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 7.5 0 15 45 1 3.14848165077274
"24" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 8.5 0 15 45 1 3.9015424988811
"25" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 9.5 0 15 45 1 0.983892662952485
"26" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 10.5 0 15 45 1 1.86745307767342
"27" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 12.5 0 15 45 0 3.36181406352694
"28" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 11.5 0 15 45 1 1.80185092401575
"29" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 12 0 15 45 0 3.96249292849006
"30" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 11.75 0 15 45 1 1.37656354624528
"31" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 11.875 0 15 45 1 1.13473796303811
"32" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 12 0 15 45 0 1.10141081873394
"33" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 7.5 0 15 175 0 2.97008988398511
"34" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 6.5 0 15 175 0 1.30041485155493
"35" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 5.5 0 15 175 0 0.945497356911346
"36" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 4.5 0 15 175 1 5.73136285842338
"37" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 5 0 15 175 1 6.56779303886628
"38" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 5.5 0 15 175 0 7.5080123046605
"39" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 5.25 0 15 175 0 2.08155336544792
"40" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 5 0 15 175 0 1.6511564620771
"41" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 4.5 0 15 175 0 6.35142582479693
"42" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 3.5 0 15 175 1 1.48439198386996
"43" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 4 0 15 175 0 3.32372478787011
"44" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 3.75 0 15 175 1 1.51147909398833
"45" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 3.875 0 15 175 1 1.72945949871337
"46" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 4 0 15 175 0 1.88852190123248
"47" "AF1HIRI2" "2" "Real" "Retrospective" "2" 7.5 0 15 270 1 2.1445134327023
"48" "AF1HIRI2" "2" "Real" "Retrospective" "2" 8.5 0 15 270 1 1.03323109497455
"49" "AF1HIRI2" "2" "Real" "Retrospective" "2" 9.5 0 15 270 1 0.992382506231024
"50" "AF1HIRI2" "2" "Real" "Retrospective" "2" 10.5 0 15 270 1 1.03589642472593
"51" "AF1HIRI2" "2" "Real" "Retrospective" "2" 12.5 0 15 270 1 1.52312492341457
"52" "AF1HIRI2" "2" "Real" "Retrospective" "2" 16.5 0 15 270 1 3.11666244733874
"53" "AF1HIRI2" "2" "Real" "Retrospective" "2" 24.5 0 15 270 1 0.874762779431876
"54" "AF1HIRI2" "2" "Real" "Retrospective" "2" 40.5 0 15 270 1 6.58927113028017
"55" "AF1HIRI2" "2" "Real" "Retrospective" "3" 7.5 0 15 75 1 3.45389788148259
"56" "AF1HIRI2" "2" "Real" "Retrospective" "3" 8.5 0 15 75 1 2.04912603930734
"57" "AF1HIRI2" "2" "Real" "Retrospective" "3" 9.5 0 15 75 1 0.68296322466972
"58" "AF1HIRI2" "2" "Real" "Retrospective" "3" 10.5 0 15 75 1 1.69824735130919
"59" "AF1HIRI2" "2" "Real" "Retrospective" "3" 12.5 0 15 75 1 0.822301190348298
"60" "AF1HIRI2" "2" "Real" "Retrospective" "3" 16.5 0 15 75 0 1.63418426914313
"61" "AF1HIRI2" "2" "Real" "Retrospective" "3" 14.5 0 15 75 1 1.28431821984577
"62" "AF1HIRI2" "2" "Real" "Retrospective" "3" 15.5 0 15 75 0 1.07903900089627
"63" "AF1HIRI2" "2" "Real" "Retrospective" "3" 15 0 15 75 0 1.2140284670902
"64" "AF1HIRI2" "2" "Real" "Retrospective" "3" 14.5 0 15 75 1 1.07703798203738
"65" "AF1HIRI2" "2" "Real" "Retrospective" "3" 14.75 0 15 75 1 0.759841038116292
"66" "AF1HIRI2" "2" "Real" "Retrospective" "3" 15 0 15 75 0 1.54405507062665
"67" "AF1HIRI2" "2" "Real" "Retrospective" "3" 14.875 0 15 75 1 0.96146437010816
"68" "AF1HIRI2" "2" "Real" "Retrospective" "4" 7.5 0 15 115 1 3.78652077122251
"69" "AF1HIRI2" "2" "Real" "Retrospective" "4" 8.5 0 15 115 1 2.89546993464501
"70" "AF1HIRI2" "2" "Real" "Retrospective" "4" 9.5 0 15 115 1 0.612645481286336
