"id" "session" "task_type" "temp_ori" "trial" "E2" "chosen" "choice_certain" "indiff" "item_liking" "payoff_liking"
"1" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "1" 115 "Payoff" 3 4.9375 7 3
"2" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "2" 75 "Item" 2 9.9375 5 4
"3" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "3" 270 "Item" 5 -4.9375 7 1
"4" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "4" 45 "Payoff" 5 11.9375 5 4
"5" "AF1HIRI1" "1" "Hypothetical" "Retrospective" "5" 175 "Payoff" 4 3.9375 6 3
"6" "AF1HIRI2" "2" "Real" "Retrospective" "2" 270 "Item" 5 72.5 7 6
"7" "AF1HIRI2" "2" "Real" "Retrospective" "3" 75 "Item" 5 14.9375 3 4
"8" "AF1HIRI2" "2" "Real" "Retrospective" "4" 115 "Payoff" 4 19.9375 5 5
"9" "AF1HIRI2" "2" "Real" "Retrospective" "5" 45 "Item" 5 14.9375 4 5
"10" "AF1HIRI2" "2" "Real" "Retrospective" "6" 175 "Item" 3 29.9375 6 5
"11" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 45 "Item" 3 -0.0625 4 2
"12" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 115 "Payoff" 5 -57.5 2 1
"13" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 175 "Payoff" 5 -57.5 2 1
"14" "AF7HCRC1" "1" "Hypothetical" "Prospective" "5" 270 "Payoff" 5 -57.5 1 5
"15" "AF7HCRC1" "1" "Hypothetical" "Prospective" "6" 75 "Payoff" 6 -0.0625 5 4
"16" "AF7HCRC2" "2" "Real" "Prospective" "1" 75 "Item" 5 9.9375 5 2
"17" "AF7HCRC2" "2" "Real" "Prospective" "2" 115 "Item" 3 8.9375 4 2
"18" "AF7HCRC2" "2" "Real" "Prospective" "3" 270 "Item" 4 -2.0625 6 2
"19" "AF7HCRC2" "2" "Real" "Prospective" "5" 45 "Payoff" 5 11.9375 6 6
"20" "AF7HCRC2" "2" "Real" "Prospective" "6" 175 "Payoff" 5 13.9375 6 5
"21" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "2" 115 "Item" 1 -1.5625 2 1
"22" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "3" 45 "Payoff" 6 2.4375 5 6
"23" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "4" 175 "Item" 3 -5.1875 2 7
"24" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "5" 75 "Item" 5 -2.9375 2 7
"25" "DZ4HCRC1" "1" "Hypothetical" "Prospective" "6" 270 "Payoff" 5 -10.0625 1 1
"26" "DZ4HCRC2" "2" "Real" "Prospective" "1" 45 "Payoff" 5 4.9375 5 6
"27" "DZ4HCRC2" "2" "Real" "Prospective" "2" 175 "Payoff" 5 5.9375 5 6
"28" "DZ4HCRC2" "2" "Real" "Prospective" "3" 115 "Payoff" 6 6.4375 5 6
"29" "DZ4HCRC2" "2" "Real" "Prospective" "4" 75 "Payoff" 6 4.9375 5 6
"30" "DZ4HCRC2" "2" "Real" "Prospective" "6" 270 "Item" 7 8.9375 4 7
"31" "FO1HIRI1" "1" "Hypothetical" "Retrospective" "1" 175 "Payoff" 7 5.9375 5 7
"32" "FO1HIRI1" "1" "Hypothetical" "Retrospective" "2" 75 "Payoff" 5 4.9375 5 7
"33" "FO1HIRI1" "1" "Hypothetical" "Retrospective" "3" 115 "Payoff" 5 5.8125 5 7
"34" "FO1HIRI1" "1" "Hypothetical" "Retrospective" "4" 270 "Item" 2 2.1875 6 4
"35" "FO1HIRI1" "1" "Hypothetical" "Retrospective" "6" 45 "Payoff" 5 6.4375 6 7
"36" "FO1HIRI2" "2" "Real" "Retrospective" "2" 270 "Payoff" 5 7.8125 5 5
"37" "FO1HIRI2" "2" "Real" "Retrospective" "3" 45 "Item" 6 9.1875 5 5
"38" "FO1HIRI2" "2" "Real" "Retrospective" "4" 175 "Item" 4 7.6875 6 6
"39" "FO1HIRI2" "2" "Real" "Retrospective" "5" 75 "Item" 7 15.1875 5 7
"40" "FO1HIRI2" "2" "Real" "Retrospective" "6" 115 "Payoff" 4 6.9375 4 5
"41" "FO2HIHI1" "1" "Hypothetical" "Retrospective" "1" 270 "Item" 3 14.6875 5 4
"42" "FO2HIHI1" "1" "Hypothetical" "Retrospective" "2" 115 "Item" 3 9.4375 4 4
"43" "FO2HIHI1" "1" "Hypothetical" "Retrospective" "4" 45 "Item" 3 7.9375 3 3
"44" "FO2HIHI1" "1" "Hypothetical" "Retrospective" "5" 75 "Item" 3 7.4375 3 3
"45" "FO2HIHI1" "1" "Hypothetical" "Retrospective" "6" 175 "Item" 3 9.9375 5 3
"46" "FO2HIHI2" "2" "Hypothetical" "Retrospective" "1" 75 "Item" 3 15.9375 5 2
"47" "FO2HIHI2" "2" "Hypothetical" "Retrospective" "2" 115 "Payoff" 5 19.9375 3 5
"48" "FO2HIHI2" "2" "Hypothetical" "Retrospective" "3" 45 "Item" 3 9.9375 4 2
"49" "FO2HIHI2" "2" "Hypothetical" "Retrospective" "4" 175 "Item" 5 24.9375 2 6
"50" "FO2HIHI2" "2" "Hypothetical" "Retrospective" "6" 270 "Item" 6 72.5 2 6
"51" "FO3HIRI1" "1" "Hypothetical" "Retrospective" "2" 45 "Payoff" 6 4.9375 4 5
"52" "FO3HIRI1" "1" "Hypothetical" "Retrospective" "3" 75 "Payoff" 5 4.8125 4 4
"53" "FO3HIRI1" "1" "Hypothetical" "Retrospective" "4" 270 "Item" 6 4.4375 2 3
"54" "FO3HIRI1" "1" "Hypothetical" "Retrospective" "5" 115 "Item" 2 3.9375 3 3
"55" "FO3HIRI1" "1" "Hypothetical" "Retrospective" "6" 175 "Item" 2 3.9375 2 3
"56" "FO3HIRI2" "2" "Real" "Retrospective" "1" 175 "Item" 5 7.4375 2 4
"57" "FO3HIRI2" "2" "Real" "Retrospective" "2" 45 "Item" 5 7.6875 5 6
"58" "FO3HIRI2" "2" "Real" "Retrospective" "4" 115 "Payoff" 4 5.4375 3 4
"59" "FO3HIRI2" "2" "Real" "Retrospective" "5" 270 "Payoff" 2 2.4375 1 3
"60" "FO3HIRI2" "2" "Real" "Retrospective" "6" 75 "Payoff" 4 4.9375 3 3
"61" "FO4HCRC1" "1" "Hypothetical" "Prospective" "1" 75 "Payoff" 4 0.9375 3 5
"62" "FO4HCRC1" "1" "Hypothetical" "Prospective" "3" 270 "Payoff" 5 0.9375 3 5
"63" "FO4HCRC1" "1" "Hypothetical" "Prospective" "4" 45 "Payoff" 4 0.9375 4 5
"64" "FO4HCRC1" "1" "Hypothetical" "Prospective" "5" 115 "Payoff" 5 0.9375 4 4
"65" "FO4HCRC1" "1" "Hypothetical" "Prospective" "6" 175 "Payoff" 5 0.9375 4 5
"66" "FO4HCRC2" "2" "Real" "Prospective" "1" 115 "Payoff" 5 1.9375 3 5
"67" "FO4HCRC2" "2" "Real" "Prospective" "2" 75 "Payoff" 5 1.9375 2 5
"68" "FO4HCRC2" "2" "Real" "Prospective" "3" 270 "Payoff" 4 1.9375 2 4
"69" "FO4HCRC2" "2" "Real" "Prospective" "4" 175 "Payoff" 4 1.9375 4 5
"70" "FO4HCRC2" "2" "Real" "Prospective" "6" 45 "Payoff" 5 1.9375 3 4
