"id" "sex" "age" "group" "session" "task_type" "temp_ori" "perf_time"
"1" "AF1HIRI1" "Male" 29 3 "1" "Hypothetical" "Retrospective" 0
"2" "AF1HIRI2" "Male" 29 3 "2" "Real" "Retrospective" 296
"3" "AF7HCRC1" "Male" 30 1 "1" "Hypothetical" "Prospective" 0
"4" "AF7HCRC2" "Male" 30 1 "2" "Real" "Prospective" 316
"5" "DZ4HCRC1" "Male" 45 1 "1" "Hypothetical" "Prospective" 0
"6" "DZ4HCRC2" "Male" 45 1 "2" "Real" "Prospective" 267
"7" "FO1HIRI1" "Male" 23 3 "1" "Hypothetical" "Retrospective" 0
"8" "FO1HIRI2" "Male" 23 3 "2" "Real" "Retrospective" 260
"9" "FO2HIHI1" "Female" 24 4 "1" "Hypothetical" "Retrospective" 0
"10" "FO2HIHI2" "Female" 24 4 "2" "Hypothetical" "Retrospective" 0
"11" "FO3HIRI1" "Female" 23 3 "1" "Hypothetical" "Retrospective" 0
"12" "FO3HIRI2" "Female" 23 3 "2" "Real" "Retrospective" 372
"13" "FO4HCRC1" "Female" 28 1 "1" "Hypothetical" "Prospective" 0
"14" "FO4HCRC2" "Female" 28 1 "2" "Real" "Prospective" 364
"15" "MD1HIHI1" "Male" 22 4 "1" "Hypothetical" "Retrospective" 0
"16" "MD1HIHI2" "Male" 22 4 "2" "Hypothetical" "Retrospective" 0
"17" "MD2HIRI1" "Male" 22 3 "1" "Hypothetical" "Retrospective" 0
"18" "MD2HIRI2" "Male" 22 3 "2" "Real" "Retrospective" 242
"19" "MD6HIRI1" "Male" 20 3 "1" "Hypothetical" "Retrospective" 0
"20" "MD6HIRI2" "Male" 20 3 "2" "Real" "Retrospective" 296
"21" "MD7HCHC1" "Female" 24 2 "1" "Hypothetical" "Prospective" 0
"22" "MD7HCHC2" "Female" 24 2 "2" "Hypothetical" "Prospective" 0
"23" "MD8HCHC1" "Female" 24 2 "1" "Hypothetical" "Prospective" 0
"24" "MD8HCHC2" "Female" 24 2 "2" "Hypothetical" "Prospective" 0
"25" "MT12HIHI1" "Male" 25 4 "1" "Hypothetical" "Retrospective" 0
"26" "MT12HIHI2" "Male" 25 4 "2" "Hypothetical" "Retrospective" 0
"27" "MT2HCHC1" "Male" 26 2 "1" "Hypothetical" "Prospective" 0
"28" "MT2HCHC2" "Male" 26 2 "2" "Hypothetical" "Prospective" 0
"29" "MT3HCHC1" "Female" 20 2 "1" "Hypothetical" "Prospective" 0
"30" "MT3HCHC2" "Female" 20 2 "2" "Hypothetical" "Prospective" 0
"31" "MT7HCRC1" "Female" 20 1 "1" "Hypothetical" "Prospective" 0
"32" "MT7HCRC2" "Female" 20 1 "2" "Real" "Prospective" 0
"33" "MT8HIRI1" "Male" 23 3 "1" "Hypothetical" "Retrospective" 0
"34" "MT8HIRI2" "Male" 23 3 "2" "Real" "Retrospective" 267
"35" "PM1HCHC1" "Male" 25 2 "1" "Hypothetical" "Prospective" 0
"36" "PM1HCHC2" "Male" 25 2 "2" "Hypothetical" "Prospective" 0
"37" "PM10HIRI1" "Male" 22 3 "1" "Hypothetical" "Retrospective" 0
"38" "PM10HIRI2" "Male" 22 3 "2" "Real" "Retrospective" 306
"39" "PM15HCRC1" "Female" 23 1 "1" "Hypothetical" "Prospective" 0
"40" "PM15HCRC2" "Female" 23 1 "2" "Real" "Prospective" 325
"41" "PM16HIHI1" "Female" 23 4 "1" "Hypothetical" "Retrospective" 0
"42" "PM16HIHI2" "Female" 23 4 "2" "Hypothetical" "Retrospective" 0
"43" "PM2HIRI1" "Male" 20 3 "1" "Hypothetical" "Retrospective" 0
"44" "PM2HIRI2" "Male" 20 3 "2" "Real" "Retrospective" 218
"45" "PM5HIRI1" "Female" 20 3 "1" "Hypothetical" "Retrospective" 0
"46" "PM5HIRI2" "Female" 20 3 "2" "Real" "Retrospective" 293
"47" "PM6HCHC1" "Female" 41 2 "1" "Hypothetical" "Prospective" 0
"48" "PM6HCHC2" "Female" 41 2 "2" "Hypothetical" "Prospective" 0
"49" "PM7HCHC1" "Male" 32 2 "1" "Hypothetical" "Prospective" 0
"50" "PM7HCHC2" "Male" 32 2 "2" "Hypothetical" "Prospective" 0
"51" "PM8HCHC1" "Male" 36 2 "1" "Hypothetical" "Prospective" 0
"52" "PM8HCHC2" "Male" 36 2 "2" "Hypothetical" "Prospective" 0
